countrycode,countryname,adminone,adminlevel,date,datatype,indicator_name,population,prevalence
ZWE,Zimbabwe,Mashonaland West,subnational,2025-01-10,SURVEY,fcs,464871,0.2454987330862525
ZWE,Zimbabwe,Mashonaland West,subnational,2025-01-10,SURVEY,rcsi,1113690,0.5881405466265451
ZWE,Zimbabwe,Masvingo,subnational,2025-01-10,SURVEY,total,1638539,0.4590193254072494
ZWE,Zimbabwe,Masvingo,subnational,2025-01-10,SURVEY,fcs,475571,0.2902408792222827
ZWE,Zimbabwe,Masvingo,subnational,2025-01-10,SURVEY,rcsi,1067796,0.651675669605667
ZWE,Zimbabwe,Matabeleland North,subnational,2025-01-10,SURVEY,total,827626,0.4590193254072494
ZWE,Zimbabwe,Matabeleland North,subnational,2025-01-10,SURVEY,fcs,322971,0.3902378610628472
ZWE,Zimbabwe,Matabeleland North,subnational,2025-01-10,SURVEY,rcsi,518918,0.6269957686201255
ZWE,Zimbabwe,Matabeleland South,subnational,2025-01-10,SURVEY,total,760345,0.4590193254072494
ZWE,Zimbabwe,Matabeleland South,subnational,2025-01-10,SURVEY,fcs,280219,0.3685419118952581
ZWE,Zimbabwe,Matabeleland South,subnational,2025-01-10,SURVEY,rcsi,340954,0.4484201250748015
ZWE,Zimbabwe,Midlands,subnational,2025-01-10,SURVEY,total,1811908,0.4590193254072494
ZWE,Zimbabwe,Midlands,subnational,2025-01-10,SURVEY,fcs,570183,0.3146865072619581
ZWE,Zimbabwe,Midlands,subnational,2025-01-10,SURVEY,rcsi,1140268,0.6293189278925861
ZWE,Zimbabwe,Bulawayo,subnational,2025-01-09,SURVEY,total,665940,0.4590193254072494
ZWE,Zimbabwe,Bulawayo,subnational,2025-01-09,SURVEY,fcs,86656,0.1301258371625071
ZWE,Zimbabwe,Bulawayo,subnational,2025-01-09,SURVEY,rcsi,312752,0.4696399074991741
ZWE,Zimbabwe,Harare,subnational,2025-01-09,SURVEY,total,2427209,0.4590193254072494
ZWE,Zimbabwe,Harare,subnational,2025-01-09,SURVEY,fcs,462215,0.1904306551269379
ZWE,Zimbabwe,Harare,subnational,2025-01-09,SURVEY,rcsi,1314641,0.541626617238153
ZWE,Zimbabwe,Manicaland,subnational,2025-01-09,SURVEY,total,2037762,0.4590193254072494
ZWE,Zimbabwe,Manicaland,subnational,2025-01-09,SURVEY,fcs,658360,0.3230799278816663
ZWE,Zimbabwe,Manicaland,subnational,2025-01-09,SURVEY,rcsi,1261845,0.6192308032046923
ZWE,Zimbabwe,Mashonaland Central,subnational,2025-01-09,SURVEY,total,1384891,0.4590193254072494
ZWE,Zimbabwe,Mashonaland Central,subnational,2025-01-09,SURVEY,fcs,578298,0.4175765457353683
ZWE,Zimbabwe,Mashonaland Central,subnational,2025-01-09,SURVEY,rcsi,882477,0.6372176582850203
ZWE,Zimbabwe,Mashonaland East,subnational,2025-01-09,SURVEY,total,1731181,0.4590193254072494
ZWE,Zimbabwe,Mashonaland East,subnational,2025-01-09,SURVEY,fcs,590770,0.3412525899949225
ZWE,Zimbabwe,Mashonaland East,subnational,2025-01-09,SURVEY,rcsi,893289,0.5159997712544211
ZWE,Zimbabwe,Mashonaland West,subnational,2025-01-09,SURVEY,total,1893578,0.4590193254072494
ZWE,Zimbabwe,Mashonaland West,subnational,2025-01-09,SURVEY,fcs,451883,0.2386397602844985
ZWE,Zimbabwe,Mashonaland West,subnational,2025-01-09,SURVEY,rcsi,1115635,0.5891677026243439
ZWE,Zimbabwe,Masvingo,subnational,2025-01-09,SURVEY,total,1638539,0.4590193254072494
ZWE,Zimbabwe,Masvingo,subnational,2025-01-09,SURVEY,fcs,483944,0.2953509193250817
ZWE,Zimbabwe,Masvingo,subnational,2025-01-09,SURVEY,rcsi,1060954,0.6474999984742505
ZWE,Zimbabwe,Matabeleland North,subnational,2025-01-09,SURVEY,total,827626,0.4590193254072494
ZWE,Zimbabwe,Matabeleland North,subnational,2025-01-09,SURVEY,fcs,343569,0.4151259143622844
ZWE,Zimbabwe,Matabeleland North,subnational,2025-01-09,SURVEY,rcsi,517904,0.625770577531397
ZWE,Zimbabwe,Matabeleland South,subnational,2025-01-09,SURVEY,total,760345,0.4590193254072494
ZWE,Zimbabwe,Matabeleland South,subnational,2025-01-09,SURVEY,fcs,277646,0.3651579217328976
ZWE,Zimbabwe,Matabeleland South,subnational,2025-01-09,SURVEY,rcsi,338990,0.4458370871117716
ZWE,Zimbabwe,Midlands,subnational,2025-01-09,SURVEY,total,1811908,0.4590193254072494
ZWE,Zimbabwe,Midlands,subnational,2025-01-09,SURVEY,fcs,577244,0.3185835042397296
ZWE,Zimbabwe,Midlands,subnational,2025-01-09,SURVEY,rcsi,1125218,0.6210127666526115
ZWE,Zimbabwe,Bulawayo,subnational,2025-01-08,SURVEY,total,665940,0.4590193254072494
ZWE,Zimbabwe,Bulawayo,subnational,2025-01-08,SURVEY,fcs,76326,0.1146139291828092
ZWE,Zimbabwe,Bulawayo,subnational,2025-01-08,SURVEY,rcsi,294458,0.4421689641709463
